"SKU","ID","Tipo","Nombre","Precio normal","_bgm_min_1","_bgm_descuento_1","_bgm_min_2","_bgm_descuento_2","_bgm_modo_descuento","reglas"
"9577821025433","40786","simple","Acondicionador Expert Line Marroqui","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"9576721073063","40784","simple","Acondicionador Expert Line Monoi","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"9576721065297","16824","simple","Acondicionador Expert Line Ricino","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"6323956011260","3175","simple","Acondicionador Kids Bubbaluu Frutilla","3890","3","600","12","1000","unico","#24 Descuento lote 600 ; #95 Descuento Nivel II lote 1000"
"6323956011291","31447","simple","Acondicionador Kids Bubbaluu Tuti Fruti","3890","3","600","12","1000","unico","#24 Descuento lote 600 ; #95 Descuento Nivel II lote 1000"
"6323956011307","31448","simple","Acondicionador Kids Bubbaluu Uva","3890","3","600","12","1000","unico","#24 Descuento lote 600 ; #95 Descuento Nivel II lote 1000"
"9720342764798","35465","simple","Acondicionador Nano Btx Brasil Cacau 450ml","3990","3","800","12","1400","unico","#31 Descuento lote 800 ; #110 Descuento Nivel II lote 1400"
"6323956020910","34816","simple","Agua de Rosas Bubbaluu 120ml","3500","3","500","12","1300","unico","#19 Descuento lote 500 ; #108 Descuento Nivel II lote 1300"
"7804666446003","16328","variable","Agua Oxigenada Mflora 1000Cc","","3","1000","12","1400","unico","#37 Descuento lote 1000 ; #110 Descuento Nivel II lote 1400"
"8588988939779","24761","simple","Aguja De Cabello Para Peinados Ref:93977","600","3","200","12","400","unico","#6 Descuento lote 200 ; #144 Descuento Nivel II lote 400"
"6929534001328","17382","simple","Alcohol 70° 500Cc Paychris","3790","3","600","12","1200","unico","#24 Descuento lote 600 ; #104 Descuento Nivel II lote 1200"
"9669669804773","17424","simple","Algodón 100Unid","1990","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6925977028885","17423","simple","Algodón 50Unid","1490","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"77394517496513","11355","simple","Alisante Kera Plex","3990","3","900","12","1600","unico","#35 Descuento lote 900 ; #115 Descuento Nivel II lote 1600"
"77394557819716","11361","simple","Alisante Lumi Plex","3990","3","900",,,"unico","#35 Descuento lote 900"
